Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,,,,93.2843784637002,93.2843784637002,93.2244908983606,93.1646033330211,93.1047157676815,93.0448282023419,92.9849406370023,92.9250530716628,92.8651655063232,92.8052779409836,92.745390375644,92.6855028103044,92.6256152449649,92.5657276796253,92.5058401142857,92.4459525489461,92.3860649836065,92.326177418267,
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,,,,,,,,,,,,,,,,,,,,,,
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,80.3925790689602,80.7311707097878,81.7031690764552,82.6515295876127,83.5752517384955,84.4722130292921,85.3326405184308,86.1612742698898,86.9635983583731,87.7378356521145,88.4847679950715,89.1926903219485,89.8685034515473,90.5171123161207,91.1393447914233,91.7349177836592,92.3040465732073,92.8461355129662,
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,,,,98.2474428439994,98.2474428439994,98.2136258631649,98.1797712930746,98.1458791337284,98.1119493851264,98.0779820472686,98.0439771201549,98.0099346037853,97.9758544981599,97.9417368032787,97.9075815191416,97.8733886457487,97.8391581830999,97.8048901311953,97.7705844900349,97.7362412596186,97.7018604399465,
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,,,,70.4027357339848,70.4027357339848,71.4000512489166,72.3956319911749,73.3894779607596,74.3815891576708,75.3719655819085,76.3606072334726,77.3475141123631,78.3326862185801,79.3161235521236,80.2978261129935,81.2777939011899,82.2560269167127,83.2325251595619,84.2072886297377,85.1803173272398,86.1516112520684,
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,96.3,,,,96.6,,,,,,,,,,,,,,,,,
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,24.6,23.5,22.5,21.4,20,18.4,16.8,15.3,13.8,12.5,11.3,10.2,9.2,8.4,7.7,7,6.4,5.9,5.5,5,4.6,4.3
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,,,,21.5,,,,,19,,,,,18.1,,,,,17.4,17,,
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,,,,24.6,,,,,21.5,,,,,20.8,,,,,20.2,19.8,,
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,,,,18.1,,,,,16.2,,,,,15.1,,,,,14.4,14.1,,
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,,,,38.8,,,,,,,,,,16.8,,,,,11.4,,,9.1
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,,,,34.7,,,,,,,,,,14.7,,,,,10,,,8.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,43.5,41.4,39.2,36.8,34.2,31.5,28.9,26.3,24,21.9,20.1,18.5,17,15.8,14.6,13.5,12.5,11.6,10.7,9.9,9.2,8.6
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,
Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
"Probability of dying at age 5-14 years (per 1,000 children age 5)",SH.DYN.0514,,,,4.8,,,,,,,,,,3.1,,,,,2.6,,,2.4
Number of neonatal deaths,SH.DTH.NMRT,452906,425759,400623,376558,346700,316942,288247,261421,236454,213817,193981,176367,160873,147330,135028,123805,113547,104048,95221,86915,79312,72600
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,,81.6,,,,,,,,,,87,,,,,89,89.3,,
Number of under-five deaths,SH.DTH.MORT,820469,763083,707736,653150,598810,545265,495083,449349,408844,373646,343611,317705,294837,274222,255108,236874,219508,203136,187591,172790,158805,146139
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,,,,9.5,,,,,,,,,,8,,,,,7.1,7,,
Number of infant deaths,SH.DTH.IMRT,647007,607869,569182,529921,490394,450265,412368,377500,346011,318294,293898,272710,253896,236354,219962,204210,189079,174712,160973,147911,135673,124632
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,,,,8.9,,,,,,,,,,5,,,,,3.9,3.8,,
Number of deaths ages 5-14 years,SH.DTH.0514,,,,107563,,,,,,,,,,52349,,,,,43783,,,40395
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.3,22.9,21.7,20.7,19.8,19.2,18.8,18.5,18.3,18.2,18.2,18.2,18.4,18.9,19.6,20.5,21.7,23,24.5,26.2,,
Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,16.7,15.9,15.2,14.6,14.2,13.9,13.8,13.8,13.8,13.9,14,14.3,14.7,15.2,15.9,16.7,17.6,18.7,20,21.4,,
Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,24.3,23,21.8,20.8,19.9,19.3,18.9,18.6,18.4,18.3,18.3,18.4,18.6,19.1,19.8,20.7,21.9,23.2,24.7,26.4,,
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,,,,,,,,,,,,,,11.5,,,,,,11.7,,
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,,,,,,,,,,7.1,,,,,,7.2,,
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,,,,,,,,,,,,,,2.6,,,,,,2.5,,
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,,,,,,,,,,,,,,,,,,,,,,
Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,,,,,,,,,,,,,,,,,,,,,,
Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,,,,,,,,,,,,,,,,,,,,,,
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,,,,,,,,,,,,,,,,,,,,,,
Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,,,,,,,,,,,,,,,,,,,,,,
Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,,,,,,,,,,,,,,,,,,,,,,
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),SG.VAW.1549.ZS,,,,,,,,,,,,,,,,,,,,,,
